symbol,name,cmc_rank,price,market_cap,volume_24h,percent_change_30d,circulating_supply,max_supply
BTC,Bitcoin,1,"37,097.48","694,710,143,345.35","41,901,139,590.32",-35.22,"18,726,612","21,000,000"
ETH,Ethereum,2,"2,692.25","312,718,946,959.13","33,373,845,619.23",-20.80,"116,155,062",
USDT,Tether,3,1.00,"62,008,610,495.65","92,876,076,406.05",0.10,"61,938,257,284",
BNB,Binance Coin,4,394.72,"60,563,491,451.12","5,027,140,170.21",-38.89,"153,432,897","170,532,785"
ADA,Cardano,5,1.74,"55,437,908,586.67","4,549,550,278.97",22.14,"31,948,309,441","45,000,000,000"
DOGE,Dogecoin,6,0.38,"49,326,853,155.15","6,068,873,809.98",-39.68,"129,881,831,420",
XRP,XRP,7,0.97,"44,937,948,341.67","4,581,759,741.26",-37.26,"46,151,013,329","100,000,000,000"
DOT,Polkadot,8,25.08,"23,697,895,888.56","2,876,552,198.17",-35.47,"944,865,779",
USDC,USD Coin,9,1.00,"22,837,005,172.89","2,582,465,779.27",0.07,"22,822,296,485",
UNI,Uniswap,10,26.56,"15,007,974,590.45","564,090,645.05",-38.31,"564,955,174","1,000,000,000"
ICP,Internet Computer,11,111.90,"13,887,312,742.04","512,027,771.23",0.00,"124,103,517",
BCH,Bitcoin Cash,12,673.52,"12,631,884,831.73","2,486,497,860.89",-47.21,"18,754,963","21,000,000"
LINK,Chainlink,13,29.22,"12,580,790,967.57","2,051,939,298.80",-38.86,"430,509,554","1,000,000,000"
LTC,Litecoin,14,178.74,"11,931,230,192.15","3,076,141,568.79",-48.93,"66,752,415","84,000,000"
SOL,Solana,15,38.08,"10,382,923,746.33","1,151,452,536.92",-16.13,"272,637,428",
MATIC,Polygon,16,1.65,"10,382,513,086.74","2,438,942,273.69",110.32,"6,289,222,325","10,000,000,000"
BUSD,Binance USD,17,1.00,"9,392,949,972.89","6,679,800,339.15",0.06,"9,386,739,820",
THETA,THETA,18,9.35,"9,347,004,885.68","1,096,187,192.65",-14.88,"1,000,000,000","1,000,000,000"
XLM,Stellar,19,0.39,"9,055,184,497.70","976,542,652.55",-33.76,"23,128,290,663","50,001,806,812"
VET,VeChain,20,0.13,"8,594,119,981.97","1,912,389,514.49",-35.23,"64,315,576,989","86,712,634,466"
ETC,Ethereum Classic,21,65.04,"7,565,536,655.62","3,342,597,191.90",-31.60,"116,313,299","210,700,000"
FIL,Filecoin,22,93.58,"7,139,790,166.20","3,115,866,575.15",-37.68,"76,292,753",
WBTC,Wrapped Bitcoin,23,"37,082.35","6,945,892,675.40","157,455,684.42",-35.53,"187,310",
EOS,EOS,24,6.06,"5,782,573,221.27","1,996,417,071.73",-26.38,"953,966,051",
TRX,TRON,25,0.08,"5,539,484,643.67","1,621,273,755.90",-43.46,"71,659,657,369",
XMR,Monero,26,292.50,"5,242,950,052.46","393,725,515.93",-27.91,"17,924,567",
DAI,Dai,27,1.00,"4,784,750,938.51","508,904,399.48",0.11,"4,775,256,972",
AAVE,Aave,28,374.11,"4,783,968,462.58","411,603,677.90",-20.24,"12,787,585","16,000,000"
NEO,Neo,29,57.14,"4,030,917,833.50","705,452,919.96",-46.99,"70,538,831","100,000,000"
KSM,Kusama,30,438.00,"3,709,878,193.28","592,876,939.88",5.52,"8,470,098",
MKR,Maker,31,"3,625.84","3,594,996,088.58","317,612,026.64",-32.31,"991,493","1,005,577"
MIOTA,IOTA,32,1.29,"3,581,630,147.30","124,291,799.42",-36.21,"2,779,530,283","2,779,530,283"
SHIB,SHIBA INU,33,0.00,"3,490,869,052.30","803,778,669.18",434.04,"394,796,000,000,000",
CAKE,PancakeSwap,34,19.40,"3,440,132,821.29","304,552,318.39",-50.18,"177,370,887",
KLAY,Klaytn,35,1.37,"3,376,435,708.83","119,062,284.45",-42.76,"2,470,098,458",
FTT,FTX Token,36,34.93,"3,295,335,315.22","210,333,798.15",-39.12,"94,346,958","339,228,639"
BSV,Bitcoin SV,37,172.88,"3,241,808,270.53","975,862,277.32",-57.80,"18,751,308","21,000,000"
ATOM,Cosmos,38,15.37,"3,239,228,432.95","396,663,191.26",-34.36,"210,767,263",
ALGO,Algorand,39,1.05,"3,213,008,058.99","227,274,112.56",-26.60,"3,063,610,555","10,000,000,000"
CRO,Crypto.com Coin,40,0.12,"3,114,346,808.39","62,110,649.57",-32.17,"25,263,013,692",
HT,Huobi Token,41,16.11,"2,820,339,886.27","498,745,375.41",-36.21,"175,074,232","500,000,000"
BTT,BitTorrent,42,0.00,"2,808,558,075.42","907,402,346.26",-39.30,"659,952,625,000",
BTCB,Bitcoin BEP2,43,"37,041.46","2,708,079,018.84","86,003,502.81",-35.56,"73,109",
LUNA,Terra,44,6.50,"2,681,842,669.94","628,109,572.13",-61.84,"412,684,163",
LEO,UNUS SED LEO,45,2.72,"2,590,313,531.98","4,350,564.95",-1.93,"953,954,130",
RUNE,THORChain,46,11.61,"2,479,267,596.17","151,665,088.03",-36.27,"213,536,800","500,000,000"
AVAX,Avalanche,47,18.84,"2,459,455,276.39","119,484,013.47",-46.03,"130,551,948","720,000,000"
XTZ,Tezos,48,3.58,"2,446,667,070.85","151,090,565.88",-45.01,"683,116,230",
TFUEL,Theta Fuel,49,0.45,"2,383,328,275.67","182,105,933.99",14.34,"5,301,214,400",
COMP,Compound,50,408.28,"2,134,633,710.62","177,705,132.08",-47.33,"5,228,383","10,000,000"
HBAR,Hedera Hashgraph,51,0.24,"2,023,511,802.16","296,381,662.09",-23.27,"8,577,696,904","50,000,000,000"
DASH,Dash,52,193.71,"1,969,317,052.87","591,985,032.61",-51.71,"10,166,418","18,900,000"
UST,TerraUSD,53,1.00,"1,927,889,359.97","42,198,354.13",-0.28,"1,930,919,160",
ZEC,Zcash,54,158.67,"1,891,161,308.29","551,781,015.95",-42.99,"11,918,719","21,000,000"
CEL,Celsius,55,7.79,"1,861,004,895.26","22,215,184.60",29.06,"238,863,520","695,658,160"
DCR,Decred,56,142.20,"1,847,457,879.40","42,123,086.01",-28.99,"12,992,395","21,000,000"
TEL,Telcoin,57,0.03,"1,794,118,453.16","81,424,014.94",27.39,"52,027,110,195","100,000,000,000"
EGLD,Elrond,58,98.43,"1,729,398,185.83","64,741,222.62",-49.65,"17,569,565","31,415,926"
